run_name,model,n_features,n_train,n_validation,runtime_seconds,accuracy,f1_weighted,precision_weighted,recall_weighted
non_weather_only,LinearSVC,25,588,147,0.0236661434173584,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388
non_weather_only,HistGradientBoosting,25,588,147,0.5863380432128906,0.7891156462585034,0.7892535242276053,0.7894646664636004,0.7891156462585034
non_weather_only,RandomForest,25,588,147,0.3811910152435303,0.7891156462585034,0.7869499532804135,0.790905836018618,0.7891156462585034
non_weather_only,RidgeClassifier,25,588,147,0.020861148834228516,0.782312925170068,0.782312925170068,0.782312925170068,0.782312925170068
non_weather_only,LogisticRegression,25,588,147,0.02901291847229004,0.7755102040816326,0.775341991805386,0.7752460083470536,0.7755102040816326
non_weather_only,GradientBoosting,25,588,147,0.23487520217895508,0.7619047619047619,0.7601690617075233,0.7619689632401497,0.7619047619047619
non_weather_only,KNeighbors,25,588,147,0.0439600944519043,0.7482993197278912,0.7487214592335887,0.7497667963506472,0.7482993197278912
non_weather_only,ExtraTrees,25,588,147,0.30461812019348145,0.7414965986394558,0.7384168307048324,0.7424310383494057,0.7414965986394558
non_weather_only,DecisionTree,25,588,147,0.025208711624145508,0.6938775510204082,0.6940776964594272,0.6943420651842827,0.6938775510204082
non_weather_only,SGDLogistic,25,588,147,0.04746603965759277,0.6938775510204082,0.6896951108346648,0.6935226264418811,0.6938775510204082
non_weather_only,GaussianNB,25,588,147,0.020656108856201172,0.5306122448979592,0.42245838427536914,0.4630852340936374,0.5306122448979592
non_weather_only,DummyMostFrequent,25,588,147,0.018639087677001953,0.5510204081632653,0.39151450053705694,0.3036234902124115,0.5510204081632653
weather_augmented,LinearSVC,44,588,147,0.032536983489990234,0.7891156462585034,0.7892535242276053,0.7894646664636004,0.7891156462585034
weather_augmented,ExtraTrees,44,588,147,0.3513681888580322,0.782312925170068,0.7810171687722708,0.7823832981468449,0.782312925170068
weather_augmented,GradientBoosting,44,588,147,0.3766608238220215,0.782312925170068,0.7804128102854044,0.783282859831263,0.782312925170068
weather_augmented,RidgeClassifier,44,588,147,0.029700040817260742,0.7755102040816326,0.7756569774035799,0.7758757234236978,0.7755102040816326
weather_augmented,HistGradientBoosting,44,588,147,0.9749929904937744,0.7755102040816326,0.7744517392981993,0.7752184365930894,0.7755102040816326
weather_augmented,LogisticRegression,44,588,147,0.036622047424316406,0.7687074829931972,0.7689879683216571,0.7695533909766438,0.7687074829931972
weather_augmented,RandomForest,44,588,147,0.5218520164489746,0.7619047619047619,0.7586517528714061,0.7642857142857142,0.7619047619047619
weather_augmented,SGDLogistic,44,588,147,0.06878089904785156,0.7142857142857143,0.7117918134995933,0.7136215198981568,0.7142857142857143
weather_augmented,KNeighbors,44,588,147,0.02440500259399414,0.6802721088435374,0.6804811496354018,0.6807531221443801,0.6802721088435374
weather_augmented,DecisionTree,44,588,147,0.035333871841430664,0.6666666666666666,0.6642366863905325,0.6648690292758089,0.6666666666666666
weather_augmented,GaussianNB,44,588,147,0.025319814682006836,0.5170068027210885,0.39632466685304263,0.3952479542541654,0.5170068027210885
weather_augmented,DummyMostFrequent,44,588,147,0.023847103118896484,0.5510204081632653,0.39151450053705694,0.3036234902124115,0.5510204081632653
