run_id,task_type,model,status,runtime_seconds,primary_metric,accuracy,f1_weighted,precision_weighted,recall_weighted,rmse,mae,r2
treatment_non_weather,classification,Logistic_C0.03_balanced,complete,0.029808998107910156,0.7760320549252756,0.7755102040816326,0.7760320549252756,0.7783467723635045,0.7755102040816326,,,
treatment_non_weather,classification,Logistic_C0.05_balanced,complete,0.022665977478027344,0.7760320549252756,0.7755102040816326,0.7760320549252756,0.7783467723635045,0.7755102040816326,,,
treatment_non_weather,classification,Logistic_C0.2_balanced,complete,0.023648977279663086,0.7892535242276053,0.7891156462585034,0.7892535242276053,0.7894646664636004,0.7891156462585034,,,
treatment_non_weather,classification,HistGB_lr003_leaf15_l2,complete,2.667933940887451,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,,,
treatment_non_weather,classification,HistGB_lr002_leaf31_l2,complete,5.244747638702393,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,,,
treatment_non_weather,classification,NeuralNet_MLP_48_24,complete,0.09733295440673828,0.6904014352993945,0.7006802721088435,0.6904014352993945,0.708294165707609,0.7006802721088435,,,
treatment_weather_augmented,classification,Logistic_C0.03_balanced,complete,0.044428110122680664,0.789663779180737,0.7891156462585034,0.789663779180737,0.7937876372318643,0.7891156462585034,,,
treatment_weather_augmented,classification,Logistic_C0.05_balanced,complete,0.0421290397644043,0.782758673089489,0.782312925170068,0.782758673089489,0.784362576199311,0.782312925170068,,,
treatment_weather_augmented,classification,Logistic_C0.2_balanced,complete,0.05175900459289551,0.7758867068840116,0.7755102040816326,0.7758867068840116,0.7769094259777489,0.7755102040816326,,,
treatment_weather_augmented,classification,HistGB_lr003_leaf15_l2,complete,2.2447919845581055,0.7744517392981993,0.7755102040816326,0.7744517392981993,0.7752184365930894,0.7755102040816326,,,
treatment_weather_augmented,classification,HistGB_lr002_leaf31_l2,complete,5.499088764190674,0.7536443148688046,0.7551020408163265,0.7536443148688046,0.7547501759324419,0.7551020408163265,,,
treatment_weather_augmented,classification,NeuralNet_MLP_48_24,complete,0.12777209281921387,0.7529644115710801,0.7551020408163265,0.7529644115710801,0.7554183238580204,0.7551020408163265,,,
burnout_index_non_weather,regression,Ridge_alpha0.1,complete,0.423785924911499,0.781639180889111,,,,,0.9088136531150403,0.7299939032549518,0.781639180889111
burnout_index_non_weather,regression,Ridge_alpha3,complete,0.3552589416503906,0.7816404640850024,,,,,0.9088109827924437,0.7299982464188384,0.7816404640850024
burnout_index_non_weather,regression,HistGBReg_lr003_leaf31_l2,complete,10.848615884780884,0.7942455987055581,,,,,0.8821898413177206,0.7072568215563577,0.7942455987055581
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,complete,18.833986043930054,0.7943544713614124,,,,,0.8819564099567996,0.7072280415485067,0.7943544713614124
burnout_index_non_weather,regression,HistGBReg_lr005_leaf15_l2,complete,5.913520336151123,0.7931055348458977,,,,,0.8846305264320589,0.7095396627707629,0.7931055348458977
burnout_index_non_weather,regression,NeuralNetReg_MLP_48_24,complete,4.049493074417114,0.789555584110938,,,,,0.892187611623749,0.7146995760347229,0.789555584110938
burnout_index_weather_augmented,regression,Ridge_alpha0.1,complete,0.5145812034606934,0.7817796988841339,,,,,0.9085211894202756,0.7298066683331147,0.7817796988841339
burnout_index_weather_augmented,regression,Ridge_alpha3,complete,0.4169011116027832,0.7817810286471589,,,,,0.9085184213008123,0.7298112693678943,0.7817810286471589
burnout_index_weather_augmented,regression,HistGBReg_lr003_leaf31_l2,complete,10.56790804862976,0.796074991232435,,,,,0.8782592453704232,0.7049823797290131,0.796074991232435
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,complete,21.43849492073059,0.7962093743942494,,,,,0.8779698186217259,0.7045399193169456,0.7962093743942494
burnout_index_weather_augmented,regression,HistGBReg_lr005_leaf15_l2,complete,6.237714767456055,0.7949971402438754,,,,,0.8805772176327298,0.7069480992719634,0.7949971402438754
burnout_index_weather_augmented,regression,NeuralNetReg_MLP_48_24,complete,4.063461780548096,0.7913986264892476,,,,,0.8882721937546798,0.712171138640189,0.7913986264892476
