run_id,task_type,model,feature,importance_mean,importance_std
treatment_weather_augmented,classification,Logistic_C0.03_balanced,state_code,1.5368764706402692e-05,0.004285551948707301
treatment_weather_augmented,classification,Logistic_C0.03_balanced,coworkers,1.532703262001611e-05,0.0060692813316885735
treatment_weather_augmented,classification,Logistic_C0.03_balanced,wellness_program,7.573768433699612e-06,0.0060606092636359635
treatment_weather_augmented,classification,Logistic_C0.03_balanced,feels_like_f,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,temperature_f,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,visibility_m,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,cloud_cover,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,tech_company,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,temperature_c,0.0,0.0
treatment_weather_augmented,classification,Logistic_C0.03_balanced,anonymity,-0.0012815596253751282,0.006602498211515376
treatment_weather_augmented,classification,Logistic_C0.03_balanced,no_employees,-0.002518014001272206,0.009297026466034678
treatment_weather_augmented,classification,Logistic_C0.03_balanced,wind_speed,-0.004034400900300894,0.009176312942837526
treatment_weather_augmented,classification,Logistic_C0.03_balanced,timezone_offset_seconds,-0.005340504606652652,0.005107315680407409
treatment_weather_augmented,classification,Logistic_C0.03_balanced,rain_1h,-0.0053981986560238,0.005070528908086705
treatment_weather_augmented,classification,Logistic_C0.03_balanced,phys_health_interview,-0.006725043016098842,0.01351967888151449
treatment_weather_augmented,classification,Logistic_C0.03_balanced,seek_help,-0.009444406492245183,0.0054029493536180365
treatment_weather_augmented,classification,Logistic_C0.03_balanced,wind_direction,-0.013515905450565913,0.0
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,sleep_disorder_risk,0.6706090382725326,0.004764190005867287
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,occupation,0.36584106124743015,0.0053393769773418115
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,day_type,0.13897700410651678,0.0020760989253769653
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,rem_percentage,0.022125363658835256,0.002255177666717249
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,mental_health_condition,0.021167635132588052,0.0006143935666569085
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,bmi,0.020336100420230225,0.000879491820393268
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,shift_work,0.008675595411737643,0.000371244999452664
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,deep_sleep_percentage,0.0028152241582488635,0.0009720148506575994
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,sleep_aid_used,0.0017151052565658558,0.0003202110778784664
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,chronotype,0.0016880714160156425,0.00034336837078347823
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,caffeine_mg_before_bed,0.00168199749161424,0.00021610654582301903
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,exercise_day,0.001507987609483415,0.00048395165460040946
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,age,0.0011971766891654134,0.0001384744529977517
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,nap_duration_mins,0.0009059461370265106,0.0003468749123371395
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,alcohol_units_before_bed,0.0008485104995687628,0.00023032654499583372
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,heart_rate_resting_bpm,0.0007852898840218595,0.00014072027716255158
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,screen_time_before_bed_mins,0.0005580231294540402,0.00014006663217572214
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,person_id,0.00010316364094945889,2.9799814297085805e-05
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,country,2.9907791918803994e-05,2.583486978556442e-05
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,gender,-3.549226926398882e-05,1.636358432193625e-05
burnout_index_non_weather,regression,HistGBReg_lr002_leaf63_l2,steps_that_day,-4.1157533369418076e-05,5.693478361235514e-05
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,sleep_disorder_risk,0.6699386078147395,0.005007523035945943
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,occupation,0.3667905686110515,0.005267734453797938
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,day_type,0.13877246209953562,0.001812050821307555
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,rem_percentage,0.02225526808479361,0.002178777634044792
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,mental_health_condition,0.020580768877206796,0.0007776760367092332
burnout_index_weather_augmented,regression,HistGBReg_lr002_leaf63_l2,bmi,0.020346687991119643,0.001056059380605125
